user,text,date,location,fav_count,re_count,no_followers,hashtags
YiannisIK,"@7NewsSydney It has been a great pandemic for the AMA - Telehealth conferences, almost monopoly on vaccinations and… https://t.co/UUBi0beOmm",2021-06-18 05:53:28,,0,0,323,[]
HaticeG4,"A must read on my Fall/Winter Reading List with a projected Release Date of Nov 26, 2021. The Husband-Wife Powerhou… https://t.co/AsKniM9crE",2021-06-18 05:49:52,"Washington, USA",0,0,134,[]
IWokeUpIn2020,@ItsIVishal @IPR_Odisha I have no idea how you guys cantt think logically. If you are safe for 1.5Years through the… https://t.co/NAuaToLpJX,2021-06-18 05:47:50,"New Delhi, India",10,5,315,[]
galoot,‘AstraZeneca can charge a higher price for its Covid-19 vaccine in dozens of poor countries once the pharmaceutical… https://t.co/ssqO593DvG,2021-06-18 05:43:41,,5,1,1140,[]
IPAOfficialPage,"As the situation eases, we should not take it easy. Let us all collectively fight this pandemic and get vaccinated.… https://t.co/ulEXlZJ85O",2021-06-18 05:33:19,India,0,0,3315,[]
NuTyindia,"Get your Covid-19 vaccination to protect yourself and others around you. Each time someone gets a shot, we are a st… https://t.co/2vwjGBGYI5",2021-06-18 05:29:45,"Bengaluru, India",0,0,32,[]
Imogen_Clark,Just under 3 weeks til my COVID vaccine dose one booking! So grateful to be eligible now (the only time I’ve been g… https://t.co/ZxSv77yIDX,2021-06-18 05:22:54,Sydney,13,0,1483,[]
RitishRajput009,Research claims - 14% of patients who have been cured of corona are getting new disease https://t.co/YnHKhdvNXn… https://t.co/f31FSsVlh7,2021-06-18 05:15:44,Kolkata,2,1,9,[]
NeilMukherjeeUK,The second freedom with the vaccine makes us dependent on covid vaccines for life in the hope we will one day reach… https://t.co/tRFdejjUWX,2021-06-18 05:05:02,"London & Oxford, UK 🇬🇧",0,0,75,[]
RobbertSocial,@sharonkgilbert @derekgilbert Dr. Robert Malone is the inventor of mRNA Vaccine technology. Mr. Steve Kirsch is a s… https://t.co/StK9l2GJic,2021-06-18 05:00:31,,0,0,42,[]
